,Rg,Verein,GS,S,U,N,Tf,Tk,TD,Pkt,xG,xGA,xGD,xGD/90,outcome,season,top_scorer(s),top_scorer_goals,points/games_played,win_pct,draw_pct,lose_pct,pyth
0,1,Bayern Munich,34,21,8,5,92,38,54,71,75.0,37.1,37.8,111.0,International,2023,Serge Gnabry , 14,2.09,61.76,23.53,14.71,0.8542591844973758
1,2,Dortmund,34,22,5,7,83,44,39,71,71.1,43.2,27.9,82.0,International,2023,"Julian Brandt, Donyell Malen... ", 9,2.09,64.71,14.71,20.59,0.7806232294617563
2,3,RB Leipzig,34,20,6,8,64,41,23,66,62.7,37.2,25.4,75.0,International,2023,Christopher Nkunku , 16,1.94,58.82,17.65,23.53,0.7090185217240782
3,4,Union Berlin,34,18,8,8,51,38,13,62,37.9,42.6,-4.7,-14.0,International,2023,Sheraldo Becker , 11,1.82,52.94,23.53,23.53,0.6430160692212609
4,5,Freiburg,34,17,8,9,51,44,7,59,48.0,48.8,-0.8,-2.0,International,2023,Vincenzo Grifo , 15,1.74,50.0,23.53,26.47,0.5732863125413269
5,6,Leverkusen,34,14,8,12,57,49,8,50,51.4,42.8,8.6,25.0,International,2023,Moussa Diaby , 9,1.47,41.18,23.53,35.29,0.5750442477876107
6,7,Eint Frankfurt,34,13,11,10,58,52,6,50,52.1,43.5,8.6,25.0,International,2023,Randal Kolo Muani , 15,1.47,38.24,32.35,29.41,0.5543836519446276
7,8,Wolfsburg,34,13,10,11,57,48,9,49,51.3,51.3,0.0,0.0,,2023,"Yannick Gerhardt, Jonas Wind ", 6,1.44,38.24,29.41,32.35,0.5850891410048622
8,9,Mainz 05,34,12,10,12,54,55,-1,46,47.1,53.6,-6.5,-19.0,,2023,"Marcus Ingvartsen, Karim Onisiwo ", 10,1.35,35.29,29.41,35.29,0.4908264601918869
9,10,M'Gladbach,34,11,10,13,52,55,-3,43,52.1,53.4,-1.3,-4.0,,2023,Marcus Thuram , 13,1.26,32.35,29.41,38.24,0.4719846395531506
10,11,Köln,34,10,12,12,49,54,-5,42,47.9,42.6,5.3,16.0,,2023,Ellyes Skhiri , 7,1.24,29.41,35.29,35.29,0.45157043445552003
11,12,Hoffenheim,34,10,6,18,48,57,-9,36,48.0,51.1,-3.1,-9.0,,2023,Andrej Kramarić , 12,1.06,29.41,17.65,52.94,0.41491085899513774
12,13,Werder Bremen,34,10,6,18,51,64,-13,36,41.1,52.9,-11.8,-35.0,,2023,Niclas Füllkrug , 16,1.06,29.41,17.65,52.94,0.38838285799611766
13,14,Bochum,34,10,5,19,40,72,-32,35,40.0,65.7,-25.7,-76.0,,2023,Philipp Hofmann , 8,1.03,29.41,14.71,55.88,0.2358490566037736
14,15,Augsburg,34,9,7,18,42,63,-21,34,34.7,58.8,-24.0,-71.0,,2023,Mergim Berisha , 9,1.0,26.47,20.59,52.94,0.3076923076923077
15,16,Stuttgart,34,7,12,15,45,57,-12,33,47.6,45.2,2.4,7.0,Abgestiegen,2023,Sehrou Guirassy , 11,0.97,20.59,35.29,44.12,0.3839590443686007
16,17,Schalke 04,34,7,10,17,35,71,-36,31,39.6,57.1,-17.6,-52.0,Abgestiegen,2023,Marius Bülter , 11,0.91,20.59,29.41,50.0,0.1954995212256623
17,18,Hertha BSC,34,7,8,19,42,69,-27,29,39.4,60.0,-20.5,-60.0,Abgestiegen,2023,Dodi Lukebakio , 11,0.85,20.59,23.53,55.88,0.27034482758620687
0,1,Bayern Munich,34,24,5,5,97,37,60,77,89.0,36.3,52.7,155.0,International,2022,Robert Lewandowski , 35,2.26,70.59,14.71,14.71,0.8729820003711264
1,2,Dortmund,34,22,3,9,85,52,33,69,64.0,46.3,17.7,52.0,International,2022,Erling Haaland , 22,2.03,64.71,8.82,26.47,0.7276664316648203
2,3,Leverkusen,34,19,7,8,80,47,33,64,62.6,44.0,18.6,55.0,International,2022,Patrik Schick , 24,1.88,55.88,20.59,23.53,0.7434080613311651
3,4,RB Leipzig,34,17,7,10,72,37,35,58,64.5,40.1,24.5,72.0,International,2022,Christopher Nkunku , 20,1.71,50.0,20.59,29.41,0.7910880512742255
4,5,Union Berlin,34,16,9,9,50,44,6,57,47.0,38.5,8.5,25.0,International,2022,Taiwo Awoniyi , 15,1.68,47.06,26.47,26.47,0.563570784490532
5,6,Freiburg,34,15,10,9,58,46,12,55,50.4,44.0,6.4,19.0,International,2022,Vincenzo Grifo , 9,1.62,44.12,29.41,26.47,0.6138686131386861
6,7,Köln,34,14,10,10,52,49,3,52,50.1,50.6,-0.6,-2.0,International,2022,Anthony Modeste , 20,1.53,41.18,29.41,29.41,0.5296767874632713
7,8,Mainz 05,34,13,7,14,50,45,5,46,50.4,43.9,6.5,19.0,,2022,Jonathan Burkardt , 11,1.35,38.24,20.59,41.18,0.5524861878453039
8,9,Hoffenheim,34,13,7,14,58,60,-2,46,58.3,54.6,3.7,11.0,,2022,Georginio Rutter , 8,1.35,38.24,20.59,41.18,0.4830557151062608
9,10,M'Gladbach,34,12,9,13,54,61,-7,45,56.2,55.0,1.2,4.0,,2022,Jonas Hofmann , 12,1.32,35.29,26.47,38.24,0.43935513032996837
10,11,Eint Frankfurt,34,10,12,12,45,49,-4,42,41.6,47.0,-5.4,-16.0,,2022,Rafael Borré , 8,1.24,29.41,35.29,35.29,0.45752372345232717
11,12,Wolfsburg,34,12,6,16,43,54,-11,42,47.7,47.3,0.4,1.0,,2022,Lukas Nmecha , 8,1.24,35.29,17.65,47.06,0.38803777544596013
12,13,Bochum,34,12,6,16,38,52,-14,42,40.6,55.8,-15.1,-46.0,,2022,Sebastian Polter , 10,1.24,35.29,17.65,47.06,0.3481195756991321
13,14,Augsburg,34,10,8,16,39,56,-17,38,36.7,57.9,-21.2,-62.0,,2022,Michael Gregoritsch , 9,1.12,29.41,23.53,47.06,0.3266051105862143
14,15,Stuttgart,34,7,12,15,41,59,-18,33,43.7,54.0,-10.2,-30.0,,2022,Sasa Kalajdzic , 6,0.97,20.59,35.29,44.12,0.3256489732661759
15,16,Hertha BSC,34,9,6,19,37,71,-34,33,33.3,54.3,-21.0,-62.0,Abgestiegen,2022,Stevan Jovetić , 6,0.97,26.47,17.65,55.88,0.21357254290171607
16,17,Arminia,34,5,13,16,27,53,-26,28,26.3,62.8,-36.6,-108.0,Abgestiegen,2022,Masaya Okugawa , 8,0.82,14.71,38.24,47.06,0.20604861503674393
17,18,Greuther Fürth,34,3,9,22,28,82,-54,18,30.0,60.2,-30.2,-89.0,Abgestiegen,2022,Branimir Hrgota , 9,0.53,8.82,26.47,64.71,0.10442194992008524
0,1,Bayern Munich,34,24,6,4,99,44,55,78,75.9,40.2,35.8,105.0,International,2021,Robert Lewandowski , 41,2.29,70.59,17.65,11.76,0.8350515463917526
1,2,RB Leipzig,34,19,8,7,60,32,28,65,64.4,29.4,35.0,103.0,International,2021,Marcel Sabitzer , 8,1.91,55.88,23.53,20.59,0.7785467128027682
